SKU,Product,Product Abv.,Product Family,Price,Cost,U14 Adders,Ref Price,Spencer Price,Model Cost,Spencer Cost,CM Model,CM Spencer,Delta,ERROR,Unnamed: 15,CM Model.1,Current Batch Hrs,New Cycle Time,Price Net Size,U14INT,U18,TOFA1INT,D60,M35,EDA,H2PO4,HMDA,Polyetheramine,Piperazine,Azelaic Acid,Sebacic Acid,Dimer Acid,Target Cycle Time,Cycle Time to Make 1MT,$CM/Hr,Sales Vol
2000671,"UNI-REZ 110, BB 1102 LB",U110F,INK,3518.5862255143225,1588.8839348960853,65.0,3408.5300447345453,3340.0,1588.8839348960853,1250.0,1754.64610983846,2025.0,270.35389016154,0.13350809390693333,,1864.7022906182372,29.89,29.89,35.86802,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8366656425417407,1.8366656425417407,1015.2649711668242,341.9
2000667,"UNI-REZ TP101, Bag 50 LB",TP101,INK,4006.7909287105576,2070.267235705606,0.0,4006.7909287105576,4007.0,2070.267235705606,2070.267235705606,1936.5236930049518,1936.7327642943942,0.2090712894423632,0.00010795050989832028,,1936.5236930049518,31.08,31.429125,35.919,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.9285,1.9285,1004.1605875058085,123.2
2000674,"SIEGAMID 2000, Bag 50 LB",S2000,INK,3563.4374498957827,1496.0349418407786,73.93,3585.3490159667135,3154.0,1496.0349418407786,1046.0,2015.3840741259348,2034.07,18.685925874065106,0.009186471396788265,,1993.472508055004,33.63,33.63,36.987680000000005,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0039245500123286,2.0039245500123286,994.7842138281802,147.0
2001945,"UNI-REZ 2215, Bag 50 LB",U2215B,INK,3468.8637318070814,1698.4128342091242,62.0,3616.9335384615383,3479.0,1698.4128342091242,1217.0,1856.5207042524141,2200.0,343.47929574758587,0.15612695261253903,,1708.4508975979572,29.29,29.29,36.852540000000005,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75171534987819,1.75171534987819,975.3016651459717,2902.0
2001960,"UNI-REZ 2226, BB 1500 LB",U2226F,INK,3394.16,1564.6736904796328,65.93,3394.16,3264.0,1564.6736904796328,1199.0,1763.556309520367,1999.07,235.51369047963294,0.11781162764667218,,1763.556309520367,30.78,30.78,36.937677,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365832805349402,1.8365832805349402,960.2375934766744,217.8
2000794,"UNI-REZ 119, Bag 50 LB",U119B,INK,3652.557319223986,1848.532443132179,73.93,3273.6702658552367,3307.0,1848.532443132179,1849.0,1351.2078227230577,1384.07,32.86217727694225,0.023743146861749945,,1730.0948760918068,30.08,30.08,36.3831846,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8221692446350617,1.8221692446350617,949.4699140519764,98.6
2000795,"UNI-REZ 119, BB 1102 LB",U119F,INK,3646.769526497142,1872.7512054859249,57.9,3352.6151177189613,3287.0,1872.7512054859249,1868.0,1421.9639122330364,1361.1,-60.863912233036444,0.044716708715771394,,1716.1183210112172,30.08,30.08,36.3831846,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8221692446350617,1.8221692446350617,941.799630338353,201.5
2001946,"UNI-REZ 2215, BB 1500 LB",U2215F,INK,3195.7999999999997,1579.1548342091241,62.0,3195.7999999999997,3067.0,1579.1548342091241,1217.0,1554.6451657908756,1788.0,233.35483420912442,0.1305116522422396,,1554.6451657908756,29.29,29.29,36.852540000000005,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75171534987819,1.75171534987819,887.4987399630777,1250.4
2002074,"UNI-REZ 2930, BB 1500 LB",U2930F,INK,3438.2400000000002,1573.4744848794267,63.0,3438.2400000000002,2998.0,1573.4744848794267,1017.0,1801.7655151205736,1918.0,116.23448487942642,0.06060192120929427,,1801.7655151205736,34.8,34.8,37.0576,0.0,0.9,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069729286300246,2.069729286300246,870.5319710392308,146.0
2001961,"UNI-REZ 2228, Bag 50 LB",U2228B,INK,3893.89496,1520.7818659348736,66.0,3818.9148800000003,3826.0,1520.7818659348736,1262.0,2232.1330140651266,2498.0,265.86698593487336,0.10643193992589005,,2307.1130940651265,47.9,47.9,37.1253432,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843653173285681,2.843653173285681,811.3201411968912,258.7
2000641,"UNI-REZ 2239, Bag 50 LB",U2239,INK,2636.752988295455,1314.7968690715204,42.56,2799.2067300000003,2701.0,1314.7968690715204,1157.0,1441.84986092848,1501.44,59.59013907152007,0.03968865826907507,,1279.3961192239346,27.45,27.45,36.56935,0.0,0.6,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.6543854347971731,1.6543854347971731,773.3361841285722,357.3
2001962,"UNI-REZ 2228, BB 1500 LB",U2228F,INK,3570.48,1520.7818659348736,66.0,3570.48,3412.0,1520.7818659348736,1262.0,1983.6981340651264,2084.0,100.3018659348736,0.04812949421059194,,1983.6981340651264,47.9,47.9,37.1253432,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843653173285681,2.843653173285681,697.5879311516302,169.0
2000772,"UNI-REZ 2294, Bag 50 LB",U2994,HM,10472.012169580457,1510.0286144900078,64.0,10469.0,10168.0,1510.0286144900078,1333.0,8894.971385509993,8771.0,-123.97138550999261,0.014134236177173938,,8897.98355509045,46.42,46.42,29.948171399999996,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4162246046180975,3.4162246046180975,2604.624866603337,23.7
2001324,"UNI-REZ 2678, Bag 50LB",U2678,HM,9984.12,988.9264128687149,42.08,9984.12,9820.0,988.9264128687149,1202.0,8953.113587131285,8575.92,-377.1935871312853,0.04398287147399758,,8953.113587131285,50.86,50.86,31.667719999999996,0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.539738257127448,3.539738257127448,2529.3151461421544,31.1
2000331,"UNI-REZ 2641, Bag 50 LB",U2641,HM,12985.23783488245,5286.755255564653,408.51,12744.905499999999,12367.94,5286.755255564653,5070.98,7049.640244435345,6888.450000000001,-161.19024443534454,0.02340007468085629,,7289.972579317796,49.36,49.36,30.16884,0.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,3.606019986184421,3.606019986184421,2021.6118067141983,58.0
2000754,"UNI-REZ 2656, Bag 50 LB",U2656B,HM,11817.183724580682,3842.521009824961,721.66,11615.08,11788.0,3842.521009824961,4515.0,7050.898990175039,6551.34,-499.55899017503907,0.07625294827852608,,7253.002714755721,58.15,58.15,32.49,0.6,0.0,0.0,0.0,0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.2,3.9446783625730992,3.9446783625730992,1838.6803810348213,47.5
2000449,"UNI-REZ 2671, Bag 50 LB",U2671,HM,8816.756364674342,2828.5473035452305,854.8,7663.308,7665.48,2828.5473035452305,2447.0,3979.9606964547693,4363.679999999999,383.7193035452301,0.08793479438117144,,5133.409061129111,46.95,46.95,30.86892,0.7,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,3.3521678115074978,3.3521678115074978,1531.369952156594,204.8
2000334,"UNI-REZ 2624, Bag 50 LB",U2624,HM,7403.7846787421295,1736.321033054703,62.43,7346.666666666667,7257.0,1736.321033054703,1679.0,5547.915633611963,5515.57,-32.34563361196342,0.005864422645703604,,5605.0336456874265,54.15,54.15,32.49,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6733333333333333,3.6733333333333333,1525.8712284085552,52.6
2000343,"UNI-REZ 2638, Bag 50 LB",U2638,HM,9413.746471682989,3325.685241661481,43.72,8796.164,8872.0,3325.685241661481,3703.0,5426.758758338519,5125.28,-301.4787583385196,0.05882190989341453,,6044.341230021508,55.51,55.51,30.53232,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,4.007033857892227,4.007033857892227,1508.432782048151,346.9
2000753,"UNI-REZ 2653, Bag 50 LB",U2653,HM,10317.649868641032,3054.295527761429,806.9,7702.244280802297,7704.0,3054.295527761429,3268.0,3841.0487530408677,3629.1,-211.9487530408678,0.05840256621224762,,6456.4543408796035,65.04,65.04,31.902983,0.7,0.0,0.0,0.0,0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.1,4.493252558859466,4.493252558859466,1436.922197517974,69.2
2000783,"UNI-REZ 2720, Bag 50 LB",U2720,HM,5725.2608759553195,1627.7848619447207,64.57,5459.161509883191,5200.0,1627.7848619447207,1248.0,3766.80664793847,3887.43,120.62335206152966,0.031029073722621286,,4032.906014010599,43.15,43.15,31.069934999999997,0.0,0.8,0.1,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0609204686137907,3.0609204686137907,1317.5468148759169,43.1
2000755,"UNI-REZ 2633, Bag 50 LB",U2633,HM,7982.669447432935,3043.8774717216834,391.29,7914.732555622137,7266.69,3043.8774717216834,2619.0,4479.565083900453,4256.4,-223.16508390045328,0.05243047737535319,,4547.501975711252,52.34,52.34,30.8655,0.3,0.3,0.0,0.0,0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,3.737420744844568,3.737420744844568,1216.7487382800339,474.4
